shopTitle,price,title,auction,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
大胡子1987,5550.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行5G手机原封原装正品6.7英寸,item.taobao.com/item.htm?id=739450006268&ns=1&abbucket=15#detail,739450006268,300,上海,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
武汉洋帆科技,8499.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max旗舰手机 5G官方国行 全新正品,item.taobao.com/item.htm?id=740073049688&ns=1&abbucket=15#detail,740073049688,144,湖北 武汉,0,0,1,0,1,A17 Pro 芯片,4800,20,,1,4800
库克数码城,4435.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>官方国行原装正品旗舰全网通双卡手机官网5G,item.taobao.com/item.htm?id=771721403957&ns=1&abbucket=15#detail,771721403957,84,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
武汉洋帆科技,4759.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>手机 5G全网通苹果<span class=H>15</span>官方正品 国行全新正品,item.taobao.com/item.htm?id=740320719338&ns=1&abbucket=15#detail,740320719338,108,湖北 武汉,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
iPhone Store直售店,5344.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品2023新款全国联保全网通手机,item.taobao.com/item.htm?id=772234697367&ns=1&abbucket=15#detail,772234697367,60,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
蘑菇酱数码,3510.0,12期分期免息/Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行版花呗手机全球购日韩美,item.taobao.com/item.htm?id=719568587744&ns=1&abbucket=15#detail,719568587744,192,广东 深圳,1,0,0,1,0,A16 仿生芯片,4800,20,,1,4800
西安状状通讯商行,4704.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>  新款6.1寸双卡国行正品官方旗舰手机5G,item.taobao.com/item.htm?id=738694208493&ns=1&abbucket=15#detail,738694208493,48,陕西 西安,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
精臻数码城,4718.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品A16芯片国行正品全新原装苹果<span class=H>15</span>手机,item.taobao.com/item.htm?id=768074693640&ns=1&abbucket=15#detail,768074693640,84,河南 郑州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
老徐的数码店,4728.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 6.1英寸原封官方正品国行全网通5G智能手机,item.taobao.com/item.htm?id=739374245247&ns=1&abbucket=15#detail,739374245247,60,上海,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
盛远数码臻选,5078.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus新款原装正品国行5G全网通 苹果<span class=H>15</span>Plus,item.taobao.com/item.htm?id=771737018185&ns=1&abbucket=15#detail,771737018185,156,广东 深圳,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
手机老农民 15年老店,4830.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行原封 送鉴别教程 <span class=H>15</span>年实体老店国行5G,item.taobao.com/item.htm?id=741632079217&ns=1&abbucket=15#detail,741632079217,48,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
清北数码,4348.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行官方正品苹果<span class=H>15</span>手机已激活新款<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=772264053168&ns=1&abbucket=15#detail,772264053168,36,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
iPhone渠道批发商 诚信商家,4338.0,Apple/苹果<span class=H>iPhone</span><span class=H>15</span>proMax国行正品苹果<span class=H>15</span>pro全网通<span class=H>iPhone</span><span class=H>15</span>手机,item.taobao.com/item.htm?id=770274510452&ns=1&abbucket=15#detail,770274510452,36,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
华佳数码,5088.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行双卡5G 苹果<span class=H>15</span>plus国行正品新款,item.taobao.com/item.htm?id=770266378865&ns=1&abbucket=15#detail,770266378865,48,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
iPhone优品店,4398.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>苹果<span class=H>15</span>promax国行苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=775191277778&ns=1&abbucket=15#detail,775191277778,228,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
盈利数码通,5150.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行<span class=H>15</span>ProMax苹果十五新款5G双卡手机,item.taobao.com/item.htm?id=770984830845&ns=1&abbucket=15#detail,770984830845,0,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800,30,,1,4800
天使皇冠,5199.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 支持移动联通电信5G 双卡双待手机,item.taobao.com/item.htm?id=772441011337&ns=1&abbucket=15#detail,772441011337,3600,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
机多多科技,6290.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 国行正品全网通5G手机苹果<span class=H>15</span> Plus,item.taobao.com/item.htm?id=777927021271&ns=1&abbucket=15#detail,777927021271,444,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
天诺数码 十年老店,6249.0,Apple/苹果<span class=H>iPhone</span><span class=H>15</span>ProMax国行正品<span class=H>iPhone</span><span class=H>15</span>全网通苹果<span class=H>15</span>pro手机,item.taobao.com/item.htm?id=777730888618&ns=1&abbucket=15#detail,777730888618,192,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
果品 Store,4446.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通5G手机原装国行,item.taobao.com/item.htm?id=769938068931&ns=1&abbucket=15#detail,769938068931,96,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
JK苹果,3850.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 全新未激活,item.taobao.com/item.htm?id=742297180643&ns=1&abbucket=15#detail,742297180643,24,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800,18,,1,4800
北京聚美特数码,4778.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机 <span class=H>iphone</span><span class=H>15</span>全网通5G国行正品 现货,item.taobao.com/item.htm?id=739059167388&ns=1&abbucket=15#detail,739059167388,24,北京,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
小黄鸭数码,7599.0,现货速发Apple/苹果 <span class=H>iPhone</span><span class=H>15</span>ProMax正品苹果<span class=H>15</span>全网通<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=740204055159&ns=1&abbucket=15#detail,740204055159,12,广东 深圳,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
iPhone优品店,6358.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>ProMax国行全网通苹果<span class=H>15</span>pro苹果<span class=H>15</span>plus手机,item.taobao.com/item.htm?id=778081855053&ns=1&abbucket=15#detail,778081855053,36,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
开铭数码,5249.0,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max国行官方官网旗舰全网通5G,item.taobao.com/item.htm?id=774058429470&ns=1&abbucket=15#detail,774058429470,120,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
淘宝珍库3C数码馆,4688.0,【tvb识货专属】准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>全网通正品现货速发,item.taobao.com/item.htm?id=774998207145&ns=1&abbucket=15#detail,774998207145,108,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
圣方数码,6888.0,现货Apple/苹果 <span class=H>iPhone</span><span class=H>15</span>Pro苹果<span class=H>15</span>Promax手机<span class=H>iPhone</span><span class=H>15</span>plus全网通,item.taobao.com/item.htm?id=771697686233&ns=1&abbucket=15#detail,771697686233,0,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
宏丽数码企业店,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全新原封支持移动联通电信全网通5G手机,item.taobao.com/item.htm?id=768620912288&ns=1&abbucket=15#detail,768620912288,0,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
利基通讯,4630.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 美行正版 无锁5G毫米波手机 全新正品 现货,item.taobao.com/item.htm?id=750427160316&ns=1&abbucket=15#detail,750427160316,72,广东 珠海,0,0,0,1,0,A16 仿生芯片,4800,20,,1,4800
京品SMART,4880.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 灵动岛 5G全网通 双卡双待 国行 原装正品,item.taobao.com/item.htm?id=740010008857&ns=1&abbucket=15#detail,740010008857,24,广东 深圳,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
果粉臻选,6248.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 5G手机全网通国行正品 苹果<span class=H>15</span> Pro Max,item.taobao.com/item.htm?id=775987087491&ns=1&abbucket=15#detail,775987087491,96,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
苹果福利社,4800.0,2023款 <span class=H>iPhone</span> <span class=H>15</span> Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 福利社国行正品,item.taobao.com/item.htm?id=656692211719&ns=1&abbucket=15#detail,656692211719,60,北京,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800
成都长庚通讯,5569.0,苹果<span class=H>15</span>plus可分期付款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品5G手机,item.taobao.com/item.htm?id=739782719097&ns=1&abbucket=15#detail,739782719097,24,四川 成都,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
信圆手机数码,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机,item.taobao.com/item.htm?id=773429118552&ns=1&abbucket=15#detail,773429118552,12000,北京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
乐幼数码,4358.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span>ProMax国行苹果<span class=H>15</span>plus苹果<span class=H>15</span>pro手机,item.taobao.com/item.htm?id=777204636905&ns=1&abbucket=15#detail,777204636905,192,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
正品数码通讯,6560.0,苹果<span class=H>15</span>pro新款原封机新品现货<span class=H>iphone</span><span class=H>15</span>手机苹果<span class=H>15</span>por系列<span class=H>15</span>promax,item.taobao.com/item.htm?id=733861551350&ns=1&abbucket=15#detail,733861551350,24,福建 福州,1,0,1,0,0,A17 Pro 芯片,4800,40,,1,4800
七分钟数码,5888.0,正品现货Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus5G苹果<span class=H>15</span>ProMax全网通 <span class=H>15</span>手机,item.taobao.com/item.htm?id=775439751087&ns=1&abbucket=15#detail,775439751087,0,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
淘宝珍库3C数码馆,4678.0,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=772155240016&ns=1&abbucket=15#detail,772155240016,12,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
凯运手机3C数码企业店,4690.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品5G手机全新原装正品全网通国行苹果<span class=H>15</span>,item.taobao.com/item.htm?id=763741860991&ns=1&abbucket=15#detail,763741860991,0,江苏 苏州,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800
惠享购数码企业店,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全新原封支持移动联通电信全网通5G手机,item.taobao.com/item.htm?id=772640725891&ns=1&abbucket=15#detail,772640725891,12,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
第e酷数码,6469.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品全新未拆封未激活苹果手机,item.taobao.com/item.htm?id=739169237333&ns=1&abbucket=15#detail,739169237333,6000,浙江 杭州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
杭州朗朗数码苹果实体,4750.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品5G手机全新原装新品现货已到当天发货,item.taobao.com/item.htm?id=739723064397&ns=1&abbucket=15#detail,739723064397,300,浙江 杭州,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
浙江苹果源销售服务中心,5449.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 6.7寸正品5G手机 国行原封 现货即发,item.taobao.com/item.htm?id=739847999350&ns=1&abbucket=15#detail,739847999350,156,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
重庆风雨通讯,4810.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 苹果<span class=H>15</span> 国行正品  6.1寸 <span class=H>iphone</span><span class=H>15</span> 国行,item.taobao.com/item.htm?id=740400731174&ns=1&abbucket=15#detail,740400731174,96,重庆,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
领域数码通讯,5498.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 2023新款苹果<span class=H>15</span>plus手机6.7英寸,item.taobao.com/item.htm?id=738984401622&ns=1&abbucket=15#detail,738984401622,312,广东 深圳,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
水清清数码 100期金牌卖家反欺诈联盟,4789.0,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新品5G手机全新实体店原装正品,item.taobao.com/item.htm?id=739776730179&ns=1&abbucket=15#detail,739776730179,132,重庆,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800
花海手机通讯店,9499.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通2023新品5G手机,item.taobao.com/item.htm?id=747622596468&ns=1&abbucket=15#detail,747622596468,12000,北京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
炫和科技,5499.0,2023新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus国行正品5G手机原封<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=739009594584&ns=1&abbucket=15#detail,739009594584,36,陕西 西安,1,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
赛信数码,4328.0,【香菇宠粉嘉年华】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新款5G双卡手机 全网通,item.taobao.com/item.htm?id=776033767813&ns=1&abbucket=15#detail,776033767813,180,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
一加数码城,4398.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机国行 苹果<span class=H>15</span> Pro,item.taobao.com/item.htm?id=770407404247&ns=1&abbucket=15#detail,770407404247,192,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
北京聚美特数码,6668.0,新款Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 5G手机 <span class=H>15</span>promax原色国行正品现货,item.taobao.com/item.htm?id=738829189213&ns=1&abbucket=15#detail,738829189213,24,北京,0,0,1,0,1,A17 Pro 芯片,4800,20,,1,4800
强盛手机企业店,14999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=742992405496&ns=1&abbucket=15#detail,742992405496,1200,上海,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
果壹数码,8499.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro,item.taobao.com/item.htm?id=755189193727&ns=1&abbucket=15#detail,755189193727,12000,上海,0,0,0,0,0,A17 Pro 芯片,4800,20,,1,4800
仙童数码,9999.0,【88VIP】Apple/苹果<span class=H>iPhone</span> <span class=H>15</span> Pro Max全网通5G手机原装国行正品,item.taobao.com/item.htm?id=772103416852&ns=1&abbucket=15#detail,772103416852,804,江苏 南京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
飞致科技公司企业店,6200.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 官方正品5G手机直降新款国行全新官网正品,item.taobao.com/item.htm?id=775034491767&ns=1&abbucket=15#detail,775034491767,24,浙江 衢州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
恩载数码,7999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus,item.taobao.com/item.htm?id=769960499905&ns=1&abbucket=15#detail,769960499905,120,浙江 金华,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
果壹数码,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=775324944779&ns=1&abbucket=15#detail,775324944779,516,北京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
祺欣数码优品,4699.0,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=775904804111&ns=1&abbucket=15#detail,775904804111,0,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
毛小豆数码店,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>智能手机 国行正品,item.taobao.com/item.htm?id=769154726216&ns=1&abbucket=15#detail,769154726216,12,河南 郑州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
三晋四方,14999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 2023新款苹果<span class=H>15</span>plus手机6.7英寸,item.taobao.com/item.htm?id=773945370196&ns=1&abbucket=15#detail,773945370196,132,北京,0,0,1,0,0,A16 仿生芯片,4800,22,,1,4800
仁勋科技,6999.0,【全国联保】Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus全网通5G手机原装国行,item.taobao.com/item.htm?id=774718655172&ns=1&abbucket=15#detail,774718655172,1140,江苏 南京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
三晋四方,15999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>国行官方正品苹果<span class=H>15</span>原封正品,item.taobao.com/item.htm?id=773960677994&ns=1&abbucket=15#detail,773960677994,408,北京,0,0,1,0,0,A16 仿生芯片,4800,22,,1,4800
小五数码,8439.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max官方正品5G手机国行全网通2023新品,item.taobao.com/item.htm?id=769818707038&ns=1&abbucket=15#detail,769818707038,72,北京,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
衢州糖豹,6400.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>新款5G智能手机<span class=H>iphone</span><span class=H>15</span>全网通百亿补贴官方,item.taobao.com/item.htm?id=775679819936&ns=1&abbucket=15#detail,775679819936,0,江苏 常州,0,0,0,0,0,A16 仿生芯片,4800,20,,1,4800
果园数码商城,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>支持移动联通电信5G 双卡双待手机,item.taobao.com/item.htm?id=758748943388&ns=1&abbucket=15#detail,758748943388,0,北京,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
新耀严选,4679.0,准新品 Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 全网通 国行正品 现货速发,item.taobao.com/item.htm?id=773442425956&ns=1&abbucket=15#detail,773442425956,0,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
丰悦数码,6236.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max 5G手机 全网通国行正品苹果<span class=H>15</span> Pro,item.taobao.com/item.htm?id=778142632999&ns=1&abbucket=15#detail,778142632999,408,广东 广州,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
人从众通讯,4538.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>苹果<span class=H>15</span>plus国行<span class=H>iphone</span><span class=H>15</span> plus手机<span class=H>iphone</span><span class=H>15</span>,item.taobao.com/item.htm?id=778579962596&ns=1&abbucket=15#detail,778579962596,252,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
机缘通讯,4280.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 国行正品全网通5G手机苹果<span class=H>15</span>全国联保,item.taobao.com/item.htm?id=778461817630&ns=1&abbucket=15#detail,778461817630,372,广东 深圳,0,0,1,1,0,A16 仿生芯片,4800,20,,1,4800
万拓科技,4330.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品<span class=H>15</span> Plus全国联保全网通苹果5G手机,item.taobao.com/item.htm?id=778093147156&ns=1&abbucket=15#detail,778093147156,156,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,18,,1,4800
机多多科技,4280.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 新款国行正品全网通5G手机苹果<span class=H>15</span>系列,item.taobao.com/item.htm?id=778380102117&ns=1&abbucket=15#detail,778380102117,348,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
武汉洋帆科技,5549.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Plus 5G手机 6.7英寸双卡双待国行正品现货,item.taobao.com/item.htm?id=739933888213&ns=1&abbucket=15#detail,739933888213,24,湖北 武汉,0,0,1,0,1,A16 仿生芯片,4800,20,,1,4800
3C数码产品博主,5599.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span>,item.taobao.com/item.htm?id=762637340438&ns=1&abbucket=15#detail,762637340438,24,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
创行数码,7558.0,正品Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro Max原装国行苹果<span class=H>15</span>Promax手机5G,item.taobao.com/item.htm?id=772650551676&ns=1&abbucket=15#detail,772650551676,72,广东 深圳,0,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
亚盛手机数码,4729.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行正品全新未拆封未激活顺丰现货手机,item.taobao.com/item.htm?id=774473856772&ns=1&abbucket=15#detail,774473856772,0,浙江 杭州,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
7号手机铺子,4658.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 国行原封2023年全新正品 双卡5G手机,item.taobao.com/item.htm?id=778343871595&ns=1&abbucket=15#detail,778343871595,0,山东 济南,1,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
7号手机铺子,6559.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> Pro 全网通5G手机新品原装国行官方正品,item.taobao.com/item.htm?id=778609589230&ns=1&abbucket=15#detail,778609589230,0,山东 济南,1,0,1,0,0,A17 Pro 芯片,4800,20,,1,4800
跃高百亿数码商城,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品全网通5G手机全新原装正品,item.taobao.com/item.htm?id=777829063118&ns=1&abbucket=15#detail,777829063118,12,江西 南昌,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
华高百亿数码店,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 新品全网通5G手机全新原装正品,item.taobao.com/item.htm?id=777734719077&ns=1&abbucket=15#detail,777734719077,12,江西 南昌,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
长天优选数码正品店,5999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>15</span> 手机官方原装正品,item.taobao.com/item.htm?id=774790698660&ns=1&abbucket=15#detail,774790698660,4800,广东 深圳,0,0,1,0,0,A16 仿生芯片,4800,20,,1,4800
