shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
炫和科技,4710.0,当天发2023新款Apple/苹果 iPhone 15国行5G原封正品手机苹果15,738719420129,36,陕西 西安,1,1,1,0,1,A16 仿生芯片,4800,20,,1,4800
易购通讯数码城,2088.0,Apple/苹果 iPhone 12 原装国行正品苹果12手机双卡全网通5G,751165322565,84,广东 深圳,1,1,1,0,0,A14,1200,20,,1,1200
壹品良机旗舰店,6899.0,下单立减苹果iPhone 15 Plus 手机旗舰店正品,739129591739,7,上海,1,1,1,0,0,A16 仿生芯片,4800,0,6.7,1,4800
聚千通讯,1850.0,分期Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> Pro Max <span class=H>苹果</span><span class=H>12</span>pro双卡5g全网通手机14,773700428255,72,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
果粉通讯城,2099.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span><span class=H>苹果</span><span class=H>12</span>Promax国行双卡<span class=H>苹果</span>5G手机全网通现货,765248883231,35,重庆,0,1,1,0,0,A14,1200,20,,1,1200
天工数码通讯店,3150.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> Pro Max国行5G手机<span class=H>12</span>pro max正品全新手机,759703805906,25,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
科新一品数码,1946.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span>国行原装正品双卡双待全网通5G游戏手机,772346159113,54,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
恒信数码手机店,1980.0,【分期免息】Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> <span class=H>苹果</span><span class=H>12</span>国行双卡手机全网通5G,772198322042,71,广东 广州,0,1,1,0,1,A14,1200,20,,1,1200
宇航数码,1499.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span>国行正品原装<span class=H>苹果</span><span class=H>12</span>手机全网通双卡5G,766092926709,78,广东 深圳,0,1,1,0,0,A14,1200,18,,1,1200
暴走数码严选,8150.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> Pro 国行正品全网通双卡5G手机 顺丰速发,758620777610,9,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
振兴科技数码,1818.0,分期免息Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> <span class=H>苹果</span><span class=H>12</span> 国行双卡全网通5G原装手机,749587946628,13,广东 广州,0,1,1,0,0,A14,1200,20,,1,1200
11号mobile通讯,4500.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span> Pro Max国行双卡<span class=H>苹果</span><span class=H>12</span>promax5G手机<span class=H>12</span>mini,748493139590,2,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
喜聚堂数码店,2090.0,Apple/<span class=H>苹果</span> iPhone <span class=H>12</span>原装正品<span class=H>苹果</span><span class=H>12</span>国行机双卡双待全网通5G手机,771560790018,13,广东 深圳,0,1,1,0,0,A14,1200,20,,1,1200
