shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
炫贝贝手机壳,19.9,卡通女孩挂绳适用苹果15promax手机壳iPhone13翻盖镜子xs可爱8/12,769931518222,0,广东 广州,0,0,1,0,0,,,0,,1,0
成都众合数码通讯,3439.0,成都闪送Apple/苹果iPhone 1,655304956429,14,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
成都众合数码通讯,4959.0,闪送Apple/苹果iPhone 13,655762501735,4,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
宇航数码,2399.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>原装国行正品mini苹果<span class=H>13</span>手机全网通双卡5G,766632661993,15,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
龙华通讯,4059.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> 支持5G 双卡双待 苹果手机 全新未激活,759019190690,54,广东 深圳,0,0,0,0,0,A15,1200,20,,1,1200
成都IT店,3769.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>全新官方正品原封国行5G花呗分期现货,655911945508,4,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
爱球数码手机店,2499.0,【现货】Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>Promax苹果<span class=H>13</span>mini <span class=H>13</span>Pro国行手机,729714432625,21,广东 深圳,1,0,1,1,0,A15,1200,20,,1,1200
盛远数码臻选,2598.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>国行正品双卡苹果<span class=H>13</span>全网通<span class=H>iphone</span><span class=H>13</span>mini手机,776312409399,14,广东 深圳,0,1,1,0,0,A15,4800,20,,1,4800
上海讯杰数码,4599.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max手机苹果<span class=H>13</span>promax国行苹果<span class=H>13</span>pro,732894088987,9,上海,1,0,1,0,0,A15,1200,20,,1,1200
成都科技前沿通讯,3439.0,成都闪送Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>手机国行现货苹果官网<span class=H>13</span>顺丰速发,681946734753,8,四川 成都,0,0,1,0,1,A15,1200,20,,1,1200
盛远数码臻选,4068.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro国行正品苹果<span class=H>13</span>Pro手机<span class=H>iPhone</span><span class=H>13</span>promax,776318741042,16,广东 深圳,0,1,1,0,0,A15,4800,20,,1,4800
慕卿数码,3450.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>国行正品全网通5G双卡双待苹果手机顺丰现货,758813079108,18,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
淘机宝贝屋,3746.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>国行正品现货包邮5G全网通手机,675873001298,3,江苏 南京,1,1,1,0,1,A15,1200,20,,1,1200
嘉盛优选数码,3950.0,分期免息Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Promax新款苹果<span class=H>13</span>pro全网通5G手机,775966235273,42,上海,0,1,1,0,0,A15,1200,20,,1,1200
麦克先生腾讯员工创业店,3800.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>  5G全网通手机  6.1英寸 全新原装正品国行,655459904810,9,北京,1,0,1,0,0,A15,1200,20,,1,1200
爱芳数码 65期金牌卖家,2398.0,21款Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> 直降5G手机苹果<span class=H>13</span>智能手机,670683656959,29,广东 深圳,1,0,1,0,0,A15,1200,20,,1,1200
金晟数码 14年老店,4208.0,【14年老店】Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max国行双卡全网通5G手机,749943853601,20,广东 广州,0,1,1,0,1,A15,1200,20,,1,1200
西诚优选,2109.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max国行手机苹果<span class=H>13</span>全网通5G苹果<span class=H>13</span>Pro,776124473479,35,广东 深圳,1,1,1,0,0,A15,1200,20,,1,1200
iPhone臻选,2755.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>官方国行正品<span class=H>13</span>mini全网通双卡旗舰5G手机林,775976343231,13,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
鹏云数码通讯,2999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max苹果<span class=H>13</span>promax <span class=H>13</span> pro 手机国行正品,737956395213,10,广东 深圳,1,1,1,0,0,A15,1200,20,,1,1200
麦克的二手原装iPhone,2999.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>原装正品三网5G全网通无锁单卡6.1英寸256G,678260119187,16,广东 深圳,0,0,1,0,0,A15,1200,20,,1,1200
千禧数码商城,3088.0,Apple/苹果<span class=H>13</span>ProMax苹果<span class=H>13</span>Pao <span class=H>iPhone</span><span class=H>13</span>国行双卡全网通智能手机,771480163709,88,广东 广州,0,1,1,0,0,A15,1200,20,,1,1200
为淘而卖,2499.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>pro苹果<span class=H>13</span>promax <span class=H>13</span>mini国行手机全国联保,730653610824,21,广东 深圳,1,0,1,1,0,A15,1200,20,,1,1200
当当手机,2200.0,送20W快充Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>苹果<span class=H>13</span>国行手机三网5G <span class=H>iphone</span><span class=H>13</span>,712475470424,9,广东 深圳,1,1,1,0,0,A15,1200,20,,1,1200
喜聚堂数码店,2995.0,Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>原装正品苹果<span class=H>13</span>国行机双卡双待全网通5G手机,772824159607,4,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
超凡数码 十年老店,4100.0,Apple/苹果 <span class=H>iPhone</span><span class=H>13</span>ProMax苹果<span class=H>13</span>pro全网通5G手机分期免息,765037097498,35,广东 揭阳,0,1,1,0,0,A15,1200,20,,1,1200
iPhone严选,2755.0,现货Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span>官方正品国行双卡<span class=H>13</span>mini全网通官网手机,776248478184,10,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
福临门数码,3288.0,分期免息Apple/苹果 <span class=H>iPhone</span> <span class=H>13</span> Pro Max国行5G双卡苹果<span class=H>13</span>现货速发,775065026963,11,广东 深圳,0,1,1,0,0,A15,1200,20,,1,1200
