shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel,model
太极国际数码,1588.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> 60 Pro+新款正品5G荣耀官方旗舰X<span class=H>50</span>GT智能手机,772798877955,1188,北京,0,1,1,0,0,,4800+4000+4800,88,,3,4800,Mate 50
太极国际数码,1588.0,Huawei/<span class=H>华为</span> <span class=H>Mate</span> <span class=H>60</span> Pro+新款正品5G荣耀官方旗舰X50GT智能手机,772798877955,1188,北京,0,1,1,0,0,,4800+4000+4800,88,,3,4800,Mate 60
德盛数码好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>,770768902003,1092,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
酷动3C数码商城,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,744738218599,1068,广东 深圳,1,1,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
圣光数码,7999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>  全新正品  智能鸿蒙,773608512453,1032,北京,1,1,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
德盛数码好店,9999.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>,764782148038,972,广东 深圳,1,0,1,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
好通数码店,8399.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro 12+512,774536892898,924,广东 深圳,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
佰亿数码手机,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>,770708292675,840,广东 深圳,0,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
新通信手机数码,5599.0,Huawei/<span class=H>华为</span> <span class=H>P60</span>,768940723805,804,北京,0,0,1,0,0,骁龙8+ 4G,4800+1300+1200,66,,3,4800,P60
好通数码店,6999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro 12+256,774462215516,780,广东 深圳,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
极客数码优品,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro 超聚光夜视长焦 昆仑玻璃 双向北斗卫星消息,761942410050,768,广东 深圳,0,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
中航数码通讯,2948.0,Huawei/<span class=H>华为</span> <span class=H>MATE</span> <span class=H>50</span>正品旗舰鸿蒙系统<span class=H>mate</span><span class=H>50</span>pro昆仑玻璃骁龙芯片,767987679437,732,广东 深圳,0,1,0,0,0,第一代骁龙 8+ 4G,5000+1300+1200,66,,3,5000,Mate 50
捷园卡数码专营店,1099.0,当天发!分期免息 Huawei/<span class=H>华为</span>nova8 5G全网通12+256GB新款学生老年人<span class=H>华为</span>手机官方旗舰店官网正品<span class=H>p60</span>/Play8T,770944296057,708,广东 深圳,0,1,1,0,0,麒麟985,6400+800+200+200,66,,4,6400,P60
好运来数码手机,9999.0,Huawei/<span class=H>华为</span> <span class=H>P60</span> Pro,772464020791,648,广东 深圳,1,0,1,0,0,骁龙8+ 4G,4800+1300+4800,88,,3,4800,P60
源旺数码专营店,1378.0,5G新品!当天发 华为50pro 16+512G 曲面屏1亿像素高通骁龙新款华,770244231136,576,广东 深圳,0,1,1,0,0,骁龙888 4G,5000+4000+1300+6400,66,,4,6400,Mate 50
源旺数码专营店,1378.0,5G新品!当天发 华为50pro 16+512G 曲面屏1亿像素高通骁龙新款华,770244231136,576,广东 深圳,0,1,1,0,0,骁龙888 4G,5000+4000+1300+6400,66,,4,6400,Mate 50
源旺数码专营店,1378.0,5G新品!当天发 <span class=H>华为</span><span class=H>50</span>pro 16+512G 曲面屏1亿像素高通骁龙新款<span class=H>华为</span>手机官方旗舰店官网正品p <span class=H>mate</span><span class=H>50</span> 60 pro,770244231136,576,广东 深圳,0,1,1,0,0,骁龙888 4G,5000+4000+1300+6400,66,,4,6400,Mate 50
