shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
佰分购旗舰店,4899.0,【24期分期 赠原厂碎屏险】Xiaomi/<span class=H>小米</span>14 Pro<span class=H>手机</span><span class=H>小米</span>官方旗舰店<span class=H>小米</span>14pro学生智能游戏官网正品骁龙8Gen3,742255861241,7,广东 深圳,1,1,1,0,1,骁龙8 Gen 3,5000+5000+5000,120,,3,5000
帝国数码城,2989.0,原封MIUI/<span class=H>小米</span> Xiaomi 13 5G<span class=H>手机</span>官网旗舰正品<span class=H>小米</span>13全新当天发,695394255577,13,四川 成都,1,0,1,0,0,骁龙8 Gen2,5000+1200+1000,67,,3,5000
中国移动官方旗舰店,2369.0,【新品立抢至高立减230】Redmi/红米K70 5G<span class=H>手机</span><span class=H>小米</span>中国移动官旗骁龙电竞高刷2K屏120W快充大内存正品全网通,752514635634,12,浙江 杭州,1,1,1,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
广东移动官方旗舰店,2469.0,【官网正品 国行现货】Xiaomi  红米Redmi K70 新品5G全网通智能骁龙电竞游戏高刷2K屏<span class=H>小米</span>快充5g全网通<span class=H>手机</span>,752483062601,6,广东 广州,1,1,1,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
喵速达电器官方旗舰店,2099.0,【自营】Redmi红米K60<span class=H>小米</span><span class=H>手机</span>游戏电竞官方旗舰店<span class=H>小米</span>K60官网redmi红米k60,695500369672,1,浙江 杭州,1,1,0,0,0,第一代骁龙8+,6400+800+200,67,,3,6400
苏宁易购官方旗舰店,6499.0,【新品上市送<span class=H>小米</span>尊享礼盒】<span class=H>小米</span>14Ultra <span class=H>手机</span>新品新款上市<span class=H>小米</span>徕卡联合研发苏宁官方旗舰店官网<span class=H>小米</span>14 2067,659660775602,17,广东 深圳,1,0,1,0,0,骁龙8 Gen 3,5000+5000+5000+5000,90,,4,5000
中国移动手机官方旗舰店,879.0,<span class=H>小米</span>Redmi 红米Note 12 5G<span class=H>手机</span>官旗舰店新品OLED屏幕智能红外线note12系列全新小金刚,692699879258,23,浙江 金华,1,1,1,0,0,骁龙4 Gen 1,4800+200,33,,2,4800
中国移动手机官方旗舰店,1599.0,【顺丰发货】Redmi红米Note12 Turbo<span class=H>手机</span>红米note12 turbo<span class=H>小米</span>官方旗舰店官网新品正品红米<span class=H>手机</span>note12turbo,709961084834,18,广东 广州,1,1,1,0,0,第二代骁龙7+,6400+800+200,67,,3,6400
苏宁易购官方旗舰店,2399.0,【6期免息 晒单享30元红包】Redmi K70E红米<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span><span class=H>小米</span>官方旗舰店新品上市红米K70 e,750563520439,14,江苏 南京,1,0,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
久汇数码专营店,1099.0,【24期免息送碎屏险】<span class=H>小米</span>Redmi/红米Note11 5G<span class=H>手机</span>新品note12pro<span class=H>小米</span>官方旗舰店官网正品pro+直降老年学生机,657879388215,5,广东 深圳,1,1,1,0,0,天玑810,5000+800+1600,33,,3,5000
机御旗舰店,1259.0,<span class=H>小米</span>红米 Redmi Note 12T Pro<span class=H>手机</span>官方旗舰店官网新品正品红米note12t系列<span class=H>小米</span><span class=H>手机</span>tpro,718680200585,45,广东 深圳,1,1,1,0,1,天玑8200-Ultra,6400+800+200,67,,3,6400
中国移动手机官方旗舰店,2099.0,【顺丰发货】Redmi红米K60新品5G<span class=H>手机</span>官网正品<span class=H>小米</span>官方旗舰店新款redmi k60<span class=H>小米</span><span class=H>手机</span>pro,744876367524,21,广东 广州,1,1,1,0,0,骁龙8+,6400+800+200,67,,3,6400
机御旗舰店,1049.0,<span class=H>小米</span>Redmi Note 13 5G<span class=H>手机</span>红米note13<span class=H>手机</span><span class=H>小米</span>官方旗舰店官网新款正品<span class=H>小米</span>note13,696361859465,4,广东 深圳,1,1,1,0,0,天玑6080,10000+200,33,,2,10000
喵速达电器官方旗舰店,2499.0,Redmi K70新品上市红米<span class=H>手机</span><span class=H>小米</span><span class=H>手机</span>官方旗舰店新品上市新款旗舰K60红米k70<span class=H>小米</span>k70,760233650625,400,浙江 杭州,1,1,0,0,0,骁龙8 Gen2,5000+800+200,120,,3,5000
喵速达电器官方旗舰店,8999.0,【自营】Xiaomi MIX Fold 3新品<span class=H>手机</span>上市<span class=H>小米</span>mixfold3官方旗舰店官网正品新款mix系列,733508007241,18,浙江 杭州,1,1,0,0,0,第二代骁龙8领先版,5000+1000+1000+,67,,4,5000
广东移动官方旗舰店,3939.0,【官网正品 顺丰速发】<span class=H>小米</span>14 新品 1.5K 超视感屏 Xiaomi 14 第三代骁龙平台5g<span class=H>手机</span> 性能游戏<span class=H>手机</span>官方旗舰店,745875167271,10,广东 广州,1,1,1,0,0,骁龙8 Gen 3,5000+5000+5000,90,,3,5000
机御旗舰店,859.0,现货速发 12期分期】<span class=H>小米</span>Redmi红米Note 11 5G<span class=H>手机</span>官方旗舰店5000mAh大电量正品官网直降学生<span class=H>小米</span><span class=H>手机</span>note11,658483282711,54,广东 深圳,1,1,1,0,1,天玑810,5000+800+1600,33,,3,5000
名品数码诚信的店铺,1408.0,新品MIUI/<span class=H>小米</span> Redmi Note 12 Turbo 红米note12T原装5G正品现货,711030550511,9,北京,1,1,1,0,1,第二代骁龙7+,6400+800+200,67,,3,6400
元宇宙电讯,2170.0,MIUI/<span class=H>小米</span> Redmi K70旗舰芯片拍照影像游戏5G全网通<span class=H>手机</span>红米K70,750716271805,54,浙江 杭州,1,0,1,0,1,骁龙8 Gen2,5000+800+200,120,,3,5000
同迅数码专营店,1799.0,<span class=H>小米</span> 红米K50 5G<span class=H>手机</span>官方旗舰店官网同款正品现货K50PRO redmi 天玑8100新品 K60,671019559904,5,辽宁 大连,1,1,1,0,0,天玑8100,4800+800+200,67,,3,4800
诚亨通讯智能手机专家,663.0,MIUI/<span class=H>小米</span> Redmi Note 12R 智能游戏拍照5G红米<span class=H>手机</span>二代骁龙4<span class=H>手机</span>,736850775304,79,广东 深圳,0,0,1,0,1,第二代骁龙® 4移动平台,5000+200,18,,2,5000
兴隆数码店,4569.0,官方正品MIUI/<span class=H>小米</span> Xiaomi 14 Pro<span class=H>手机</span>新款原装官网<span class=H>小米</span>14pro<span class=H>手机</span>,743898030248,14,广东 深圳,1,1,1,0,0,骁龙8 Gen 3,5000+5000+5000,120,,3,5000
能良数码官方旗舰店,2299.0,【顺丰现货速发】Xiaomi Civi 3新品<span class=H>手机</span><span class=H>小米</span>Civi3官方旗舰店官网正品新款拍照智能<span class=H>小米</span>Civi系列,719104074054,0,浙江 金华,1,1,1,0,0,天玑 8200-Ultra,5000+800+200,67,,3,5000
苏宁易购官方旗舰店,6499.0,【24期免息 套餐一赠Redmi手环2】<span class=H>小米</span>14Ultra<span class=H>手机</span>新品<span class=H>小米</span>徕卡<span class=H>小米</span>官方旗舰店官网高通骁龙8Gen3,632408555627,13,江苏 南京,1,0,1,0,0,骁龙8 Gen 3,5000+5000+5000+5000,90,,4,5000
名品数码诚信的店铺,1209.0,新品MIUI/<span class=H>小米</span> Redmi Note 12T Pro<span class=H>手机</span>全网通5G正品 note12tpro,723815109231,10,北京,1,1,1,0,1,天玑8200-Ultra,6400+800+200,67,,3,6400
bihee旗舰店,1779.0,24期分期/送小米原装礼Redmi K70E红米手机小米k70官方旗舰店官网,750589732509,16,上海,0,1,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
叮当数码手机,2999.0,MIUI/小米 Xiaomi Civi 4 Pro 第三代骁龙8s 全等深微曲屏5g手机,775904919930,5,广东 深圳,1,0,0,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
同迅数码专营店,2999.0,新品24期免息 送原装礼Xiaomi 小米Civi 4 Pro 5G手机小米Civi4pro官,775986250040,3,辽宁 大连,1,1,1,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
数码8888宝贝,6499.0,MIUI/<span class=H>小米</span> Xiaomi 14 Pro,754560978895,45,上海,0,1,1,0,0,骁龙8 Gen 3,5000+5000+5000,120,,3,5000
