shopTitle,price,title,item_id,realSales,procity
苏宁易购官方旗舰店,559.00,【现货速发】<span class=H>小米</span>红米Redmi 12C新品上市智能<span class=H>小米</span>官方旗舰店红米<span class=H>小米</span><span class=H>手机</span>大音学生老年备用机老人百元机 2067,768922505454,14人付款,广东 深圳
深圳正品手机店铺,519.00,MIUI/<span class=H>小米</span> Redmi 12C全网通4G 红米<span class=H>小米</span>大音学生老年备用智能<span class=H>手机</span>,753290691011,28人付款,广东 深圳
深圳国泰正品手机企业店铺,279.00,MIUI/<span class=H>小米</span> Redmi NOTE 9 5G红米9A 8A全网通4G学生老人智能<span class=H>手机</span>,713889396807,4人付款,广东 深圳
ccsmdian,343.00,MIUI/<span class=H>小米</span> PLAY水滴全面屏智能<span class=H>手机</span>双卡全网通4G工作备用百元便宜,758513930011,2人付款,广东 深圳
上海鸿鹄林数码,329.00,MIUI/<span class=H>小米</span> Redmi 8A 红米8a新<span class=H>手机</span>8pro新品<span class=H>小米</span><span class=H>手机</span>官网旗舰7a,753525605615,1人付款,广东 深圳
道维尔数码港,215.00,MIUI/<span class=H>小米</span> 红米5 plus全网通双卡双待电信高清通话volte联通移动,713110430193,3人付款,广东 深圳
火火数码优品,210.00,MIUI/<span class=H>小米</span> 6X骁龙660全网通安卓工作机学生备用机4G智能机双摄,761946838397,3人付款,广东 深圳
道维尔数码港,185.00,MIUI/<span class=H>小米</span> Redmi Note 4X移动联通双卡双待小屏4X导航键备用安卓,635506839671,10人付款,广东 深圳
东信通讯数码城,168.00,MIUI/<span class=H>小米</span> 红米Note4X 32G联通移动双卡双待note5全网通高清通话,644952137651,3人付款,广东 深圳
裕源益数码,460.00,MIUI/<span class=H>小米</span>RedmiNote8全网通全面屏4G红米note8pro游戏<span class=H>手机</span>6G+128G,678870523168,18人付款,广东 深圳
天下和数码专营店,489.00,【顺丰包邮速发】Redmi/红米8A 双卡双待4G 智能老人学生原装全新备用<span class=H>手机</span>,615938971571,7人付款,河南 郑州
东信通讯数码城,226.00,MIUI/<span class=H>小米</span> Redmi 5 Plus全网通抖音快手支持电信高清通话导航键,679958843802,10人付款,广东 深圳
深圳正品手机店铺,458.00,MIUI/小米 REDMI 10A红米9A八核大电量屏幕老人学生备用智能手机,743096324565,94人付款,广东 深圳
优品电子数码企业店铺,369.00,MIUI/小米 REDMI 9A大屏幕大电池学生老人便宜智能手机红米10a,760768829364,13人付款,广东 深圳
光速数码,269.00,MIUI/<span class=H>小米</span> Redmi 12C全网通4G红米12c 10A大屏幕老年学生智能<span class=H>手机</span>,747238620043,16人付款,广东 深圳
光速数码,329.00,MIUI/<span class=H>小米</span> 10青春版直面屏5G全网通高通骁龙游戏智能游戏正品<span class=H>手机</span>,715323839752,2人付款,广东 深圳
捷阳数码,280.00,MIUI/<span class=H>小米</span> Redmi NOTE 9 5G<span class=H>手机</span> 红米note9pro全面屏旗舰游戏<span class=H>手机</span>,721806841257,38人付款,广东 深圳
叮当数码优品,420.00,MIUI/<span class=H>小米</span>Redmi Note 9 4G拍照游戏<span class=H>手机</span>红米note9 5G大电量老人机,680703641191,40人付款,广东 深圳
深圳正品手机店铺,319.00,MIUI/<span class=H>小米</span> Xiaomi 8 青春版全网通4G骁龙学生老人游戏智能<span class=H>手机</span>,681846868345,7人付款,广东 深圳
东润通讯,550.00,原屏MIUI/<span class=H>小米</span> 9 8G+128G 骁龙855 游戏学生备用智能<span class=H>手机</span> 未拆修,763657819091,59人付款,广东 深圳
翔泰世纪通讯,599.00,MIUI/<span class=H>小米</span> Redmi Note 9 Pro 红米note9 5g官方旗舰游戏<span class=H>手机</span>,695050643698,100+人付款,广东 深圳
红人馆通讯,358.00,MIUI/<span class=H>小米</span> 6游戏工作室全网通4g<span class=H>手机</span><span class=H>小米</span>6智能老人学生备用机ROOT,749019717735,31人付款,广东 深圳
深圳市远航数码手机批发中心,115.00,MIUI/<span class=H>小米</span> Redmi 9A红米10a大屏幕大电池学生老人便宜智能<span class=H>手机</span>5G,743460842987,100+人付款,广东 深圳
深圳市远航数码手机批发中心,115.00,MIUI/<span class=H>小米</span> Redmi 8A红米8a<span class=H>手机</span>9A大电池老人学生智能note7<span class=H>手机</span>,722437297403,31人付款,广东 深圳
优品电子数码企业店铺,439.00,MIUI/<span class=H>小米</span> REDMI 10A八核大电量屏幕老人学生智能<span class=H>手机</span>正品红米9A,760844851035,17人付款,广东 深圳
深圳正品手机店铺,338.00,MIUI/<span class=H>小米</span> Redmi 9红米9A大屏幕大电池老人学生游戏工作智能<span class=H>手机</span>,684779602774,6人付款,广东 深圳
